@relation responses_discretized-weka.filters.unsupervised.attribute.Remove-R1

@attribute SalaryUSD {Low,'Very High',High,'Very Low',Mid}
@attribute Country {Sweden,USA,UK,Pakistan,Paraguay,India,Serbia-and-Montenegro,Germany,Canada,Dominican-Republic,Slovakia,Brazil,France,Poland,Romania,Ireland,South-Africa,Portugal,CostaRica,Israel,Argentina,Peru,Australia,Venezuela,Spain,Belgium,Malaysia,Netherlands,Russia,Italy,Finland,Turkey,Austria,New-Zealand,Honduras,UAE,Guernsey,Norway,Luxembourg,PuertoRico,Guatemala,Greece,Denmark,Lithuania,Ukraine,Philippines,Hungary,Estonia,Caymans,Croatia,Indonesia,Thailand,Switzerland,Slovenia,Bosnia,Cyprus,Bulgaria,Singapore,Colombia,Chile,Iceland,Macedonia,Jersey,Latvia,CzechRepublic,Mexico,Bangladesh,China,Iran,Qatar,Ecuador,Uruguay,SaudiArabia,Vanuatu,Taiwan,Maldives,Armenia,Swaziland,Georgia,HK,Syria,Bahrain,Moldova,Nicaragua,Jamaica,Malta,Jordan,Uganda,Belarus,Nepal,Ghana,ElSalvador,Albania,Bolivia,Vietnam,Bermuda,Kenya}
@attribute PrimaryDatabase {M,P,A,MA,O,MS,RDS,MDB,DB2,SQLI,C,SAP,T,E}
@attribute YearsWithThisDatabase numeric
@attribute EmploymentStatus {E,EC,IC,P,I}
@attribute JobTitle {D,DBAP,DBAG,M,DA,DT,A,DBAD,E,AN,DS,DBA,PDE,DO,T,DBS,C,SA,S,DBABI,SRC,AC}
@attribute ManageStaff {Y,N}
@attribute YearsWithThisTypeOfJob numeric
@attribute HowManyCompanies numeric
@attribute OtherPeopleOnYourTeam numeric
@attribute PopulationOfLargestCityWithin20Miles {t,m,C,c,T}
@attribute EmploymentSector {PB,E,SG,LG,NP,FG,S}
@attribute CareerPlansThisYear {S,C,SR,SE}
@attribute Gender {M,F,NB}
@attribute DatabaseServers numeric
@attribute Education {'Bachelors (4 years)','None (no degree completed)',Masters,'Associates (2 years)',Doctorate/PhD}
@attribute EducationIsComputerRelated {Yes,No}
@attribute Certifications {N,YesValid,YesExpired}
@attribute HoursWorkedPerWeek numeric
@attribute TelecommuteDaysPerWeek {zero,five,four,one,three,two}

@data
Mid,Finland,M,10,E,E,N,3,1,1,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,3,E,E,N,5,2,3,C,PB,?,M,?,?,?,?,?,?
'Very Low',Brazil,M,10,E,DBAG,N,10,4,6,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,?,4,E,E,N,3,1,1,c,NP,?,M,?,?,?,?,?,?
'Very High',USA,M,10,E,M,Y,3,4,6,m,PB,SE,M,?,?,?,?,?,?
'Very Low',Brazil,M,3,E,DBAG,N,3,1,1,T,PB,S,M,?,?,?,?,?,?
'Very Low',Spain,M,10,E,DBAD,N,6,3,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,9,E,DBAG,N,9,3,0,m,FG,S,F,?,?,?,?,?,?
'Very High',USA,A,2,E,A,N,20,3,3,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,8,E,DBAP,N,5,2,4,T,PB,?,M,?,?,?,?,?,?
'Very Low',UK,M,12,E,DBAP,N,2,6,2,c,PB,S,M,?,?,?,?,?,?
Low,South-Africa,M,15,E,DT,N,11,2,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,6,E,A,N,2,1,2,c,PB,C,F,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,10,1,5,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,9,E,DBAP,N,9,3,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DA,N,20,6,6,m,PB,SE,M,?,?,?,?,?,?
Low,Indonesia,RDS,2,E,?,N,20,2,6,m,PB,S,M,?,?,?,?,?,?
Low,UK,M,11,E,E,Y,1,2,4,c,PB,SR,M,?,?,?,?,?,?
'Very Low',Slovenia,M,12,IC,DA,N,15,3,6,c,PB,SR,M,?,?,?,?,?,?
'Very Low',Argentina,M,7,E,DBAP,N,2,1,0,m,PB,C,M,?,?,?,?,?,?
Mid,USA,M,1,E,DBAG,N,6,3,6,m,PB,S,M,?,?,?,?,?,?
'Very Low',PuertoRico,M,2,E,D,N,4,2,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,Y,20,3,2,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,3,E,E,N,10,3,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',USA,MA,5,E,DA,N,25,3,1,T,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,7,E,DBAD,N,3,1,0,m,PB,S,F,?,?,?,?,?,?
High,USA,M,16,E,DBAP,N,14,6,6,C,PB,S,M,?,?,?,?,?,?
'Very Low',USA,M,21,E,AN,N,9,4,0,T,PB,SE,M,?,?,?,?,?,?
'Very Low',Indonesia,M,12,E,DBAP,Y,3,2,0,C,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,Y,25,4,0,c,PB,S,M,?,?,?,?,?,?
High,USA,M,20,EC,DBAD,N,6,2,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,13,E,E,Y,5,2,0,t,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,M,Y,10,2,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,D,N,25,5,3,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,DBAG,N,15,3,0,c,SG,SR,M,?,?,?,?,?,?
Mid,USA,M,2,E,E,N,2,2,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,D,Y,22,4,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',Ukraine,M,5,E,DBAP,N,5,5,0,m,PB,S,NB,?,?,?,?,?,?
Low,USA,M,3,E,DBAG,N,1,1,0,C,PB,S,M,?,?,?,?,?,?
Low,Canada,M,14,E,DBAG,N,14,2,2,C,E,SE,M,?,?,?,?,?,?
Low,UK,M,20,EC,DBAP,N,20,3,4,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,3,E,DA,N,3,1,0,t,E,SR,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAG,N,13,2,1,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,A,N,10,3,1,c,NP,S,M,?,?,?,?,?,?
High,USA,M,6,E,DBAG,N,6,2,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,20,E,DT,N,10,2,1,C,PB,?,M,?,?,?,?,?,?
Low,USA,A,1,E,E,N,1,2,0,m,PB,SR,M,?,?,?,?,?,?
'Very Low',Brazil,O,10,E,AN,N,16,1,0,C,E,S,M,?,?,?,?,?,?
Mid,USA,?,2,E,DBAG,N,2,1,3,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,15,E,A,N,7,3,1,m,PB,S,M,?,?,?,?,?,?
Low,Canada,M,20,E,DBAP,N,20,2,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,M,Y,31,4,0,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,A,Y,11,1,0,m,PB,C,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,1,3,1,T,PB,S,M,?,?,?,?,?,?
High,USA,M,16,E,DBAP,N,14,6,6,C,PB,S,M,?,?,?,?,?,?
Low,Norway,M,8,EC,E,Y,8,2,6,c,PB,S,M,?,?,?,?,?,?
Low,Norway,M,8,EC,E,Y,8,2,6,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,20,E,D,N,12,1,2,t,E,S,F,?,?,?,?,?,?
Low,USA,M,5,E,DBAP,N,5,1,0,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,DBAG,N,8,3,6,m,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,DT,N,13,1,0,m,E,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DT,N,20,3,3,m,PB,SR,M,?,?,?,?,?,?
Low,USA,M,5,E,D,N,5,2,0,C,NP,S,F,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,4,5,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,1,EC,DBAD,N,7,2,1,C,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,22,E,A,N,25,6,0,m,PB,S,M,?,?,?,?,?,?
'Very High',Luxembourg,M,20,E,E,Y,2,3,1,c,PB,S,M,?,?,?,?,?,?
High,USA,M,20,E,DBAP,N,23,2,1,T,SG,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,10,4,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Colombia,M,5,EC,DA,N,5,2,6,c,PB,SR,?,?,?,?,?,?,?
'Very Low',Brazil,M,14,E,AN,N,14,2,6,C,LG,C,M,?,?,?,?,?,?
Mid,USA,M,10,E,E,N,2,2,4,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,11,E,DBAP,Y,7,1,4,C,PB,SE,M,?,?,?,?,?,?
High,USA,M,25,E,DT,N,25,2,0,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,Y,23,1,1,C,PB,S,M,?,?,?,?,?,?
'Very Low',Chile,M,22,EC,DA,N,23,2,1,m,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,15,E,E,N,1,4,1,c,PB,SE,M,?,?,?,?,?,?
Low,USA,M,1,E,DBAP,N,1,1,0,C,NP,S,M,?,?,?,?,?,?
High,USA,M,12,E,AN,Y,5,5,2,c,PB,S,F,?,?,?,?,?,?
High,USA,M,15,E,D,N,15,4,1,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,13,E,DBAP,N,12,5,0,m,PB,S,M,?,?,?,?,?,?
Low,Canada,M,20,E,A,Y,20,2,1,m,PB,S,M,?,?,?,?,?,?
Mid,Netherlands,M,25,E,DBAG,N,25,1,2,C,PB,SE,M,?,?,?,?,?,?
'Very Low',USA,M,2,E,D,N,2,1,1,C,PB,S,F,?,?,?,?,?,?
High,USA,M,6,E,DBAG,N,4,1,0,c,PB,S,M,?,?,?,?,?,?
High,USA,M,9,E,DBAP,N,9,1,1,m,PB,S,M,?,?,?,?,?,?
Mid,Netherlands,A,6,IC,D,N,7,2,2,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,14,E,M,Y,30,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,8,E,AN,Y,4,2,2,m,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DBAD,N,4,1,1,c,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,19,E,A,N,20,2,4,m,SG,?,?,?,?,?,?,?,?
'Very High',USA,A,5,E,M,Y,10,1,1,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,DT,Y,12,3,1,C,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DA,N,17,3,3,T,PB,S,M,?,?,?,?,?,?
Low,USA,M,15,E,M,Y,20,1,1,C,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,7,E,DT,N,7,1,6,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,15,E,DBAG,N,12,5,6,c,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,Y,13,2,3,m,PB,S,M,?,?,?,?,?,?
Low,Netherlands,M,10,E,DA,N,32,2,1,C,PB,?,M,?,?,?,?,?,?
'Very High',USA,M,23,E,A,N,7,3,6,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,23,E,A,N,7,3,6,C,PB,S,M,?,?,?,?,?,?
Low,UK,M,6,IC,A,N,1,1,0,c,LG,C,M,?,?,?,?,?,?
'Very High',USA,M,25,E,A,Y,15,2,1,m,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,DBAG,Y,11,1,0,m,PB,SR,M,?,?,?,?,?,?
High,USA,M,20,E,DBAG,N,20,6,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',Indonesia,M,10,E,M,Y,10,2,0,m,PB,C,F,?,?,?,?,?,?
High,USA,M,12,E,E,N,8,1,1,T,PB,C,M,?,?,?,?,?,?
High,Australia,M,15,E,M,Y,5,2,6,m,PB,S,M,?,?,?,?,?,?
'Very Low',Canada,M,7,E,DA,Y,5,1,1,m,PB,S,M,?,?,?,?,?,?
'Very High',Australia,M,3,E,M,Y,1,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,A,3,E,E,N,15,3,6,m,PB,C,M,?,?,?,?,?,?
'Very High',USA,M,20,IC,A,Y,25,3,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,A,N,5,1,0,c,PB,S,M,?,?,?,?,?,?
'Very High',Australia,M,20,IC,D,N,20,6,4,m,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DT,N,5,2,3,C,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,11,E,DBAP,Y,3,5,1,C,PB,S,M,?,?,?,?,?,?
High,Romania,M,14,EC,DBAG,N,1,6,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,DA,Y,20,3,6,t,PB,S,M,?,?,?,?,?,?
Low,UK,M,11,E,D,N,11,4,3,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,15,E,DBAD,Y,7,5,0,m,PB,?,M,?,?,?,?,?,?
'Very Low',USA,P,7,E,DT,N,17,1,5,c,PB,S,M,?,?,?,?,?,?
'Very High',Switzerland,O,15,IC,AN,Y,3,3,0,C,PB,SE,M,?,?,?,?,?,?
Mid,Iceland,M,25,E,A,N,15,3,6,c,PB,S,M,?,?,?,?,?,?
High,USA,M,12,EC,DBAD,N,24,6,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,25,E,D,N,4,3,6,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,8,E,DBAG,N,8,2,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DA,Y,10,4,2,c,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,22,E,A,Y,15,5,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',Macedonia,M,14,E,DBAD,N,14,5,4,c,PB,S,M,?,?,?,?,?,?
High,USA,M,17,E,M,Y,15,4,0,m,PB,S,F,?,?,?,?,?,?
Low,USA,M,3,E,DBAD,N,3,1,0,C,PB,SR,M,?,?,?,?,?,?
Mid,USA,A,2,EC,E,N,8,4,4,C,PB,SE,M,?,?,?,?,?,?
'Very Low',India,M,10,E,DBAD,N,1,3,1,C,PB,SR,M,?,?,?,?,?,?
'Very Low',Brazil,M,5,E,DT,Y,5,1,3,m,PB,SR,M,?,?,?,?,?,?
Low,UK,M,17,E,DT,Y,30,1,3,m,SG,?,M,?,?,?,?,?,?
'Very Low',Turkey,P,2,E,DBAG,N,2,1,6,m,PB,?,M,?,?,?,?,?,?
Mid,USA,M,10,E,E,N,3,3,6,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,A,25,E,A,Y,25,5,2,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,7,E,DBAP,N,4,2,6,m,PB,?,M,?,?,?,?,?,?
High,USA,M,10,E,DBAD,N,10,1,3,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,25,E,DBAG,N,5,1,0,c,PB,S,M,?,?,?,?,?,?
Low,Poland,M,14,E,DBAG,N,10,4,3,m,PB,C,M,?,?,?,?,?,?
High,UK,M,19,EC,A,N,6,1,1,m,PB,C,M,?,?,?,?,?,?
Mid,USA,M,8,E,DBAG,Y,6,2,1,C,PB,SE,NB,?,?,?,?,?,?
'Very Low',USA,M,20,E,DBAG,N,20,3,3,c,PB,S,M,?,?,?,?,?,?
High,USA,M,9,E,DBAD,N,1,5,2,c,PB,SR,M,?,?,?,?,?,?
Mid,USA,M,4,E,DBAG,N,4,2,3,m,NP,S,M,?,?,?,?,?,?
'Very High',Australia,M,15,IC,M,Y,4,1,0,m,FG,C,M,?,?,?,?,?,?
High,USA,M,20,E,DT,N,20,2,0,C,PB,SR,M,?,?,?,?,?,?
High,USA,M,12,E,DBAP,N,12,4,0,c,PB,SR,M,?,?,?,?,?,?
'Very Low',India,M,9,E,A,Y,9,1,0,m,PB,C,M,?,?,?,?,?,?
High,USA,M,20,E,DBAP,Y,15,2,5,C,PB,S,F,?,?,?,?,?,?
'Very Low',India,M,13,E,M,Y,2,1,0,C,PB,?,M,?,?,?,?,?,?
Low,USA,M,3,E,DT,N,3,2,3,C,PB,?,F,?,?,?,?,?,?
Mid,Singapore,M,13,E,DBAG,N,2,6,2,m,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,DBAG,N,2,5,0,m,NP,S,M,?,?,?,?,?,?
'Very High',USA,M,25,E,D,N,18,4,3,m,PB,S,M,?,?,?,?,?,?
'Very Low',Brazil,M,13,E,DBAG,Y,20,1,3,C,PB,?,M,?,?,?,?,?,?
High,USA,M,16,E,DBAD,N,16,2,6,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,8,E,DBAP,N,8,1,1,C,PB,SE,M,?,?,?,?,?,?
Mid,USA,M,8,EC,DBAG,Y,1,1,3,c,FG,S,M,?,?,?,?,?,?
'Very High',USA,M,6,E,DBAG,N,6,2,3,C,PB,S,F,?,?,?,?,?,?
High,USA,M,10,E,DBAP,N,7,3,6,m,PB,S,M,?,?,?,?,?,?
High,USA,M,6,E,DBAP,N,6,2,6,C,PB,?,M,?,?,?,?,?,?
Low,UK,M,15,E,DA,N,15,2,1,c,PB,S,M,?,?,?,?,?,?
High,USA,M,10,E,DBAG,N,10,3,1,m,PB,SR,M,?,?,?,?,?,?
'Very Low',Portugal,M,13,E,DBAG,N,13,5,2,C,LG,SR,M,?,?,?,?,?,?
High,USA,M,10,E,DBAP,N,7,3,6,m,PB,S,M,?,?,?,?,?,?
Mid,Netherlands,M,14,P,DBAP,N,10,5,1,C,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAG,N,5,2,0,C,PB,S,M,?,?,?,?,?,?
'Very Low',France,M,20,E,E,N,15,2,2,c,PB,SE,M,?,?,?,?,?,?
'Very Low',Poland,M,2,E,AN,N,2,1,1,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,5,E,DBAD,N,2,3,3,t,PB,SR,M,?,?,?,?,?,?
High,USA,M,20,E,DBAP,N,20,3,0,m,PB,SE,M,?,?,?,?,?,?
High,USA,MS,5,E,DA,Y,23,2,2,T,PB,S,M,?,?,?,?,?,?
High,USA,M,4,E,E,N,4,2,3,T,FG,S,M,?,?,?,?,?,?
'Very Low',USA,M,6,E,DBAG,N,6,2,3,T,NP,S,M,?,?,?,?,?,?
Low,Canada,M,15,E,A,N,15,3,6,C,LG,SE,M,?,?,?,?,?,?
'Very Low',Spain,M,20,E,DBAG,N,10,6,2,m,PB,?,M,?,?,?,?,?,?
Low,Norway,M,3,EC,DBAG,N,3,1,6,C,PB,S,M,?,?,?,?,?,?
Low,Sweden,M,20,EC,DBAP,N,10,1,5,C,PB,S,M,?,?,?,?,?,?
'Very Low',Spain,M,5,E,DA,Y,5,1,0,T,PB,S,M,?,?,?,?,?,?
Mid,PuertoRico,M,20,E,DBAP,N,10,6,5,C,PB,S,F,?,?,?,?,?,?
'Very Low',Sweden,M,3,E,DT,N,6,1,1,T,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,2,E,DBAP,N,2,1,0,m,PB,S,M,?,?,?,?,?,?
Mid,Netherlands,M,21,E,DBAG,N,1,6,1,c,LG,SE,M,?,?,?,?,?,?
'Very Low',UK,M,3,E,DT,N,1,1,6,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,23,E,DBAD,N,23,6,0,m,PB,S,M,?,?,?,?,?,?
Low,Jersey,M,13,E,AN,N,10,3,5,T,PB,S,M,?,?,?,?,?,?
'Very Low',Spain,M,8,E,DBAG,N,3,2,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',UK,M,16,E,D,N,14,1,0,C,FG,SE,M,?,?,?,?,?,?
'Very High',USA,M,22,IC,DBAG,N,22,6,0,T,PB,S,M,?,?,?,?,?,?
'Very Low',Latvia,M,10,E,DT,Y,10,2,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,7,E,A,Y,12,1,2,C,PB,S,M,?,?,?,?,?,?
High,USA,M,11,E,DBAG,N,11,3,1,T,NP,S,?,?,?,?,?,?,?
'Very High',USA,M,8,E,M,Y,7,2,3,m,PB,SR,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DBAG,N,10,3,0,C,PB,SE,F,?,?,?,?,?,?
'Very High',USA,M,11,EC,DBAP,N,3,3,1,C,FG,S,M,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAP,Y,5,3,0,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,E,DT,N,10,3,2,C,PB,S,F,?,?,?,?,?,?
High,USA,M,20,E,DBAG,Y,17,6,3,C,FG,S,M,?,?,?,?,?,?
Mid,USA,M,2,E,DBAP,N,2,1,5,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,25,E,DBAG,N,12,2,0,C,PB,S,M,?,?,?,?,?,?
Mid,USA,M,15,E,E,N,3,4,2,c,PB,S,M,?,?,?,?,?,?
Low,Canada,M,12,E,DBAG,N,20,3,2,C,SG,S,M,?,?,?,?,?,?
High,USA,M,10,E,D,N,10,1,6,c,E,SR,M,?,?,?,?,?,?
'Very Low',CzechRepublic,M,15,E,DBAG,N,2,3,6,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,D,N,4,2,0,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,23,E,DBAG,N,20,6,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,22,E,A,N,10,1,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,10,EC,DT,N,8,3,5,c,E,S,M,?,?,?,?,?,?
High,USA,M,12,E,E,N,9,5,3,m,PB,S,M,?,?,?,?,?,?
High,USA,M,30,E,DBAG,N,25,6,6,m,PB,?,M,?,?,?,?,?,?
Mid,USA,M,5,EC,D,N,4,2,0,T,SG,SR,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,Y,12,3,0,m,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,DT,Y,8,4,1,T,PB,SR,F,?,?,?,?,?,?
High,USA,O,20,E,DBAG,N,20,3,1,C,FG,S,M,?,?,?,?,?,?
Mid,USA,M,20,IC,DA,N,20,2,0,c,PB,S,M,?,?,?,?,?,?
Low,UK,M,10,E,D,N,8,3,6,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,5,E,DA,Y,6,3,1,m,NP,S,M,?,?,?,?,?,?
'Very Low',PuertoRico,M,5,E,D,Y,5,1,0,T,PB,S,M,?,?,?,?,?,?
Mid,Canada,M,15,E,D,Y,15,6,3,m,PB,C,M,?,?,?,?,?,?
Mid,USA,M,18,E,M,Y,5,1,0,T,SG,S,M,?,?,?,?,?,?
High,Canada,O,15,E,DBAG,N,10,3,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',Ukraine,M,8,E,DBAG,N,8,1,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,14,E,DBAP,N,8,2,6,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,30,E,A,Y,15,4,1,C,PB,S,M,?,?,?,?,?,?
Low,USA,M,2,E,AN,N,1,2,1,m,PB,C,M,?,?,?,?,?,?
High,USA,A,14,E,E,N,9,2,4,m,PB,S,M,?,?,?,?,?,?
Mid,USA,M,10,E,DBAG,N,10,1,4,c,PB,S,M,?,?,?,?,?,?
High,USA,M,15,E,E,N,8,4,0,C,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,20,E,DBAP,N,30,6,4,m,PB,S,M,?,?,?,?,?,?
Mid,Australia,M,8,P,D,Y,9,2,3,c,PB,S,M,?,?,?,?,?,?
Mid,USA,M,3,E,D,N,1,1,3,m,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,18,E,DBAP,N,5,1,1,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,25,E,M,Y,17,3,0,C,PB,SE,M,?,?,?,?,?,?
Mid,USA,P,1,E,DS,N,4,2,1,C,NP,S,M,?,?,?,?,?,?
'Very Low',India,M,7,EC,E,N,7,5,0,m,PB,C,M,?,?,?,?,?,?
High,USA,M,22,E,DBAG,N,22,2,6,m,PB,S,M,?,?,?,?,?,?
'Very High',Australia,M,28,IC,?,Y,33,2,0,T,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,A,N,10,4,6,m,PB,SE,M,?,?,?,?,?,?
'Very High',USA,M,14,E,M,Y,1,1,0,C,PB,S,M,?,?,?,?,?,?
High,Germany,M,20,E,A,N,1,1,2,m,NP,S,M,?,?,?,?,?,?
Low,UK,M,5,E,DBAG,N,2,1,2,C,PB,S,M,?,?,?,?,?,?
Mid,Norway,M,3,E,DT,N,3,1,3,C,PB,S,M,?,?,?,?,?,?
Low,Sweden,M,20,E,DT,N,35,6,3,C,SG,S,F,?,?,?,?,?,?
Mid,Norway,M,8,E,DBAG,N,8,2,6,C,PB,?,M,?,?,?,?,?,?
'Very Low',India,M,7,EC,DBAP,N,7,4,2,t,SG,SR,M,?,?,?,?,?,?
'Very Low',UK,M,10,E,DBAG,N,5,1,1,m,PB,S,M,?,?,?,?,?,?
'Very Low',Bosnia,M,25,IC,DBAG,N,6,3,0,C,PB,S,M,?,?,?,?,?,?
Low,UK,A,12,E,E,N,2,4,3,T,PB,S,M,?,?,?,?,?,?
Low,Norway,M,8,E,E,N,14,2,5,c,FG,S,M,?,?,?,?,?,?
Low,Lithuania,M,4,E,DT,Y,4,1,0,C,PB,?,M,?,?,?,?,?,?
Low,UK,M,12,E,DBAP,N,8,4,6,T,PB,S,M,?,?,?,?,?,?
High,USA,M,9,E,M,Y,11,3,6,C,PB,S,F,?,?,?,?,?,?
'Very High',USA,M,23,E,DBAP,N,20,2,3,C,PB,S,M,?,?,?,?,?,?
High,USA,M,12,E,E,N,25,2,4,C,PB,S,F,?,?,?,?,?,?
'Very Low',CostaRica,M,6,E,DBAG,N,6,4,0,t,PB,S,?,?,?,?,?,?,?
'Very High',USA,M,8,E,M,Y,4,1,0,c,PB,S,M,?,?,?,?,?,?
'Very Low',Belgium,M,10,EC,D,N,10,1,0,C,PB,C,M,?,?,?,?,?,?
'Very Low',UK,M,12,E,DBAG,N,12,2,1,T,LG,?,M,?,?,?,?,?,?
'Very High',USA,M,20,IC,A,Y,5,6,0,c,PB,?,M,?,?,?,?,?,?
Mid,USA,M,6,E,A,Y,8,2,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,10,EC,D,N,6,4,6,m,PB,C,M,?,?,?,?,?,?
High,USA,M,10,E,D,Y,6,3,1,m,NP,SE,M,?,?,?,?,?,?
'Very Low',India,M,1,E,DT,N,1,1,1,c,PB,SR,M,?,?,?,?,?,?
'Very Low',Sweden,M,12,E,DA,N,12,1,2,C,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,IC,DA,N,5,5,0,m,PB,S,M,?,?,?,?,?,?
'Very Low',CostaRica,M,3,E,D,N,3,2,1,C,PB,SR,M,?,?,?,?,?,?
High,USA,M,6,E,M,Y,5,1,0,m,PB,SE,M,?,?,?,?,?,?
High,USA,M,9,E,DBAG,N,5,3,0,C,PB,S,M,?,?,?,?,?,?
High,USA,M,8,E,DBAG,N,8,2,0,T,PB,S,M,?,?,?,?,?,?
Low,USA,O,15,E,DA,N,22,2,1,c,E,S,M,?,?,?,?,?,?
High,Ireland,M,13,E,AN,Y,5,1,6,m,FG,S,M,?,?,?,?,?,?
'Very High',UK,M,21,IC,DBAG,N,21,6,0,m,PB,S,M,?,?,?,?,?,?
'Very High',USA,M,20,E,M,Y,15,2,6,m,PB,S,M,?,?,?,?,?,?
